nome_empresarial,bairro,ano,lat,lng,tipo
LANCHONETE AZEVEDO,CENTRO,2005-07-21,-25.4359316,-49.2770828,Lanchonete
BROTINHO MANIA,CENTRO,2000-12-18,-25.4385799,-49.2792453,Lanchonete
PONTO DA GULA COMERCIO DE ALIMENTOS LTDA,CENTRO,1999-11-19,-25.4293286,-49.2645958,Lanchonete
CHAN & FONG LANCHONETE LTDA  ME,CENTRO,2003-05-26,-25.4255479,-49.2630592,Lanchonete
SENE & CANTELLI LTDA,CENTRO,2000-04-22,-25.4255314,-49.2701913,Bar/Choperia
ILHA DO BANANAL - COMERCIO DE LANCHES LTDA,CENTRO,1996-10-01,-25.4301849,-49.2663313,Lanchonete
PASTELARIA 21 LTDA,CENTRO,1983-05-25,-25.4329003,-49.2751459,Pastelaria
ANTONIO CARMENERE CAFETERIA,CENTRO,2003-11-24,-25.4346067,-49.280595,Café
LANCHONETE B S LTDA,CENTRO,1986-04-15,-25.4359952,-49.271971,Lanchonete
DOIS CORACOES,CENTRO,2009-05-18,-25.4340308,-49.2791334,Lanchonete
TEXAS BAR,TATUQUARA,2013-04-23,-25.560717,-49.3345104,Jogo
DADOLOBU RESTAURANTE LTDA - ME,CENTRO,2013-08-29,-25.4333074,-49.2808858,Lanchonete
SAN MARINO COMERCIO LANCHES LTDA,CENTRO,1983-03-15,-25.427046,-49.2703562,Bar/Choperia
AGLAIR MATTOZO,CENTRO,1983-04-04,-25.4344999,-49.274725,Lanchonete
LANCHONETE E RESTAUR ASSORES LTDA,CENTRO,1985-01-02,-25.4307942,-49.2763563,Bar/Choperia
RESTAURANTE E LANCHONETE CHAODONG LTDA - ME,CENTRO,2003-07-01,-25.4357334,-49.2709245,Lanchonete
LANCHONETE E PASTELARIA JIAN YUN LTDA,CENTRO,2004-03-01,-25.4278169,-49.2709172,Pastelaria
LANCHONETE E REST PATOTA LTDA,CENTRO,1994-02-22,-25.4352807,-49.2701954,Bar/Choperia
VALDAIR DE OLIVEIRA,CENTRO,1984-01-02,-25.4287925,-49.2696805,Bar/Choperia
JADE S BAR LTDA,TATUQUARA,2000-07-21,-25.550123,-49.3024629,Bar/Choperia
MEIA CULPA,BATEL,2002-06-17,-25.4360082,-49.2838364,Bar/Choperia
EDMILSON MARTINS MANGABEIRA,CENTRO,2006-10-19,-25.4354455,-49.2755418,Lanchonete
RESTAURANTE VO ROSINHA LTDA,CENTRO,1985-03-01,-25.4304354,-49.2646677,Restaurante
GUIOLLA HAMBURGUERIA GOURMET LTDA.,CENTRO,2011-08-30,-25.4290663,-49.2643333,Gourmet
SÓ PASTEL,CENTRO,1984-09-10,-25.4276213,-49.2653292,Pastelaria
LANCHONETE CASA DE SUCO,CENTRO,2013-09-06,-25.4299204,-49.2649858,Lanchonete
J A KLINK,CENTRO,1982-08-10,-25.4334817,-49.2773846,Restaurante
CESAR BATISTA KOKURUDZA,CENTRO,2009-12-16,-25.4316626,-49.2800499,Jogo
AMOR CURITIBANO,CENTRO,1998-02-02,-25.4355847,-49.2775746,Lanchonete
MS SORVETO LTDA - ME,CENTRO,2013-06-21,-25.4334433,-49.277111,Lanchonete
MAIS CAFE,CENTRO,2011-09-05,-25.4270867,-49.2695689,Café
A E A - REST VEGETARIANO LTDA,CENTRO,1988-06-10,-25.4366647,-49.2733002,Restaurante
"FENIX PANIFICADORA, CONFEITARIA E LANCHONETE",CENTRO,1984-04-25,-25.4301332,-49.2757346,Padaria/Confeitaria
SELMA REGINA VERDI,CENTRO,1996-04-20,-25.4300818,-49.2758994,Lanchonete
WANDA LUCIA SMITH MELO,CENTRO,1983-12-01,-25.431664,-49.2659496,Bar/Choperia
TAVARES E LEAL LTDA,CENTRO,1997-09-15,-25.4279067,-49.2706901,Lanchonete
CAFE DA ESCADA,BATEL,2004-09-20,-25.4385486,-49.2817057,Café
SEMPLICE COMERCIO DE ALIMENTOS LTDA,CENTRO,2003-07-01,-25.4377545,-49.2764644,Restaurante
LANCHES PANDINGA LTDA,CENTRO,1987-07-15,-25.4305472,-49.2676037,Lanchonete
